date,sp500_ret
2011-03-25,0.003189
2011-03-28,-0.002774
2011-03-29,0.007224
2011-03-30,0.00672
2011-03-31,-0.001745
2011-04-01,0.00489
2011-04-04,0.000419
2011-04-05,8.9e-05
2011-04-06,0.002602
2011-04-07,-0.001498
2011-04-08,-0.004034
2011-04-11,-0.002773
2011-04-12,-0.007576
2011-04-13,0.000442
2011-04-14,4.8e-05
2011-04-15,0.003814
2011-04-18,-0.011038
2011-04-19,0.005612
2011-04-20,0.013576
2011-04-21,0.005122
2011-04-25,-0.001707
2011-04-26,0.008955
2011-04-27,0.006537
2011-04-28,0.003553
2011-04-29,0.002303
2011-05-02,-0.00174
2011-05-03,-0.003341
2011-05-04,-0.006527
2011-05-05,-0.008979
2011-05-06,0.003919
2011-05-09,0.004444
2011-05-10,0.00807
2011-05-11,-0.010325
2011-05-12,0.005203
2011-05-13,-0.008049
2011-05-16,-0.006157
2011-05-17,-0.000167
2011-05-18,0.008827
2011-05-19,0.002355
2011-05-20,-0.007733
2011-05-23,-0.01192
2011-05-24,-0.000953
2011-05-25,0.003019
2011-05-26,0.004271
2011-05-27,0.004343
2011-05-31,0.010535
2011-06-01,-0.022642
2011-06-02,-0.001226
2011-06-03,-0.009755
2011-06-06,-0.010634
2011-06-07,-0.000794
2011-06-08,-0.004053
2011-06-09,0.007452
2011-06-10,-0.013762
2011-06-13,0.000999
2011-06-14,0.012595
2011-06-15,-0.017561
2011-06-16,0.001957
2011-06-17,0.003049
2011-06-20,0.005522
2011-06-21,0.013557
2011-06-22,-0.006441
2011-06-23,-0.002696
2011-06-24,-0.011903
2011-06-27,0.009232
2011-06-28,0.013162
2011-06-29,0.008388
2011-06-30,0.010084
2011-07-01,0.014493
2011-07-05,-0.001209
2011-07-06,0.001503
2011-07-07,0.010678
2011-07-08,-0.006843
2011-07-11,-0.018032
2011-07-12,-0.00443
2011-07-13,0.003165
2011-07-14,-0.006812
2011-07-15,0.005592
2011-07-18,-0.008152
2011-07-19,0.016329
2011-07-20,-0.000564
2011-07-21,0.013493
2011-07-22,0.000963
2011-07-25,-0.005611
2011-07-26,-0.00389
2011-07-27,-0.020252
2011-07-28,-0.003164
2011-07-29,-0.006379
2011-08-01,-0.004215
2011-08-02,-0.025577
2011-08-03,0.005456
2011-08-04,-0.047724
2011-08-05,-0.000673
2011-08-08,-0.066532
2011-08-09,0.04742
2011-08-10,-0.043752
2011-08-11,0.046185
2011-08-12,0.005184
2011-08-15,0.021687
2011-08-16,-0.00912
2011-08-17,0.001028
2011-08-18,-0.044372
2011-08-19,-0.014923
2011-08-22,0.000358
2011-08-23,0.034443
2011-08-24,0.013181
2011-08-25,-0.015561
2011-08-26,0.015294
2011-08-29,0.028405
2011-08-30,0.002626
2011-08-31,0.0051
2011-09-01,-0.011889
2011-09-02,-0.0251
2011-09-06,-0.00728
2011-09-07,0.029003
2011-09-08,-0.010623
2011-09-09,-0.02663
2011-09-12,0.007052
2011-09-13,0.009622
2011-09-14,0.013543
2011-09-15,0.017299
2011-09-16,0.005782
2011-09-19,-0.00972
2011-09-20,-0.001807
2011-09-21,-0.029179
2011-09-22,-0.032021
2011-09-23,0.00636
2011-09-26,0.023156
2011-09-27,0.010558
2011-09-28,-0.020291
2011-09-29,0.007898
2011-09-30,-0.024877
2011-10-03,-0.028378
2011-10-04,0.022528
2011-10-05,0.018251
2011-10-06,0.018483
2011-10-07,-0.007992
2011-10-10,0.034095
2011-10-11,0.000593
2011-10-12,0.009966
2011-10-13,-0.002927
2011-10-14,0.017327
2011-10-17,-0.019308
2011-10-18,0.020516
2011-10-19,-0.012532
2011-10-20,0.004447
2011-10-21,0.018775
2011-10-24,0.013029
2011-10-25,-0.020037
2011-10-26,0.01024
2011-10-27,0.034398
2011-10-28,0.00042
2011-10-31,-0.02482
2011-11-01,-0.027868
2011-11-02,0.016246
2011-11-03,0.018892
2011-11-04,-0.006251
2011-11-07,0.006382
2011-11-08,0.012425
2011-11-09,-0.036672
2011-11-10,0.008642
2011-11-11,0.019601
2011-11-14,-0.009364
2011-11-15,0.004751
2011-11-16,-0.016476
2011-11-17,-0.016845
2011-11-18,-0.000391
2011-11-21,-0.018651
2011-11-22,-0.004026
2011-11-23,-0.021966
2011-11-25,-0.002483
2011-11-28,0.02921
2011-11-29,0.002616
2011-11-30,0.043306
2011-12-01,-0.001804
2011-12-02,-0.000335
2011-12-05,0.01046
2011-12-06,0.001126
2011-12-07,0.002277
2011-12-08,-0.021145
2011-12-09,0.016952
2011-12-12,-0.014884
2011-12-13,-0.008641
2011-12-14,-0.011194
2011-12-15,0.003335
2011-12-16,0.003289
2011-12-19,-0.011844
2011-12-20,0.029901
2011-12-21,0.001647
2011-12-22,0.008384
2011-12-23,0.009031
2011-12-27,-6.9e-05
2011-12-28,-0.012235
2011-12-29,0.010645
2011-12-30,-0.004231
2012-01-03,0.015377
2012-01-04,0.000388
2012-01-05,0.002898
2012-01-06,-0.002191
2012-01-09,0.00233
2012-01-10,0.008935
2012-01-11,0.000413
2012-01-12,0.002413
2012-01-13,-0.004854
2012-01-17,0.003456
2012-01-18,0.011388
2012-01-19,0.005104
2012-01-20,0.00079
2012-01-23,0.00043
2012-01-24,-0.000916
2012-01-25,0.008514
2012-01-26,-0.005659
2012-01-27,-0.001511
2012-01-30,-0.002354
2012-01-31,-0.000399
2012-02-01,0.009247
2012-02-02,0.001258
2012-02-03,0.014701
2012-02-06,-0.000504
2012-02-07,0.001982
2012-02-08,0.002557
2012-02-09,0.001659
2012-02-10,-0.00698
2012-02-13,0.006931
2012-02-14,-0.000729
2012-02-15,-0.005095
2012-02-16,0.01127
2012-02-17,0.002396
2012-02-21,0.000416
2012-02-22,-0.003431
2012-02-23,0.004499
2012-02-24,0.001959
2012-02-27,0.001445
2012-02-28,0.003637
2012-02-29,-0.004444
2012-03-01,0.006162
2012-03-02,-0.003038
2012-03-05,-0.00373
2012-03-06,-0.015343
2012-03-07,0.007335
2012-03-08,0.009748
2012-03-09,0.003565
2012-03-12,0.000227
2012-03-13,0.018365
2012-03-14,-0.001188
2012-03-15,0.006001
2012-03-16,0.001059
2012-03-19,0.003784
2012-03-20,-0.002844
2012-03-21,-0.001866
2012-03-22,-0.007124
2012-03-23,0.003121
2012-03-26,0.013912
2012-03-27,-0.002598
2012-03-28,-0.004714
2012-03-29,-0.001632
2012-03-30,0.00373
2012-04-02,0.007407
2012-04-03,-0.003787
2012-04-04,-0.010034
2012-04-05,-0.000117
2012-04-09,-0.011358
2012-04-10,-0.017067
2012-04-11,0.007588
2012-04-12,0.013798
2012-04-13,-0.012421
2012-04-16,-0.00045
2012-04-17,0.015507
2012-04-18,-0.003952
2012-04-19,-0.005824
2012-04-20,0.00137
2012-04-23,-0.008769
